,VIF Factor,features,
0,2.370796319,Cred_Def_RAL_MA,
1,2.425870423,Cred_Def_RLL_MA,
2,1.171413334,Cred_Def_Non_MA,
3,5.285868545,Cred_Mig_RAL_MA,
4,4.971676633,Cred_Mig_RLL_MA,
5,1.606093245,Cred_Mig_Non_MA,
6,4017613.502,Eq_MSCI_GBR,1
7,800797.6847,Eq_MSCI_US,1
8,1533849.248,Eq_MSCI_RoTW,1
9,9508.866615,Prop,1
10,2642.721138,FX_CHFGBP,1
11,75948.43827,FX_EURGBP,1
12,241422.0455,FX_JPYGBP,1
13,501127.384,FX_USDGBP,1
14,1.260869693,Long_T,
15,1.000353235,Mort_P,
16,1.176836111,MortP_LethalEp,
17,1.12376568,Ann_TakeUp_Rate,
18,3.152909482,Lapse_P_Ark_Life,
19,3.157038255,Lapse_Param_Protection_ex_RAL,
20,3.149104914,Lapse_Param_Savings_ex_RAL,
21,3.136967942,Lapse_Param_Guarantees_ex_RAL,
22,1.034552567,Lapse_Shock,
23,9.171152896,IP_Inc_P,
24,14.88312834,IP_Rec_P,
25,1.000228662,IP_Inc_S,
26,inf,CI_P,1
27,inf,CI_P_BLA,1
28,1.00027988,CI_Shock,
29,2.235699866,Op_Risk_Non_MA,
30,2.32866424,Op_Risk_ServCo,
31,1.611787472,Op_Risk_ARUK_Solo,
32,1038.755913,UL_Spreads,1
33,24486.24158,UL_Int,1
34,10.41296302,UL_Infl,0
35,15662445.86,UL_Eq,1
36,9486.335554,UL_Prop,1
37,1402313.743,UL_Curr,1
38,5.68996E+12,IR_SOVEREIGN_GBP_01Y,1
39,4.5583E+12,IR_SOVEREIGN_GBP_05Y,1
40,4.22477E+12,IR_SOVEREIGN_GBP_10Y,1
41,2.94738E+12,IR_SOVEREIGN_GBP_20Y,1
42,2.96095E+12,IR_SOVEREIGN_GBP_30Y,1
43,5.78126E+11,CRDS_SWAS_GBP_01Y,1
44,2.92946E+11,CRDS_SWAS_GBP_05Y,1
45,2.91552E+11,CRDS_SWAS_GBP_10Y,1
46,4.23251E+11,CRDS_SWAS_GBP_20Y,1
47,4.25269E+11,CRDS_SWAS_GBP_30Y,1
48,5.595929738,AAA_0_5Y,
49,8.811315898,AAA_5_10Y,
50,10.10504261,AAA_10_15Y,
51,12.00853055,AAA_15Yplus,
52,1.03531E+12,AA_0_5Y,1
53,7.37872E+11,AA_5_10Y,1
54,3.78677E+11,AA_10_15Y,1
55,4.63572E+11,AA_15Yplus,1
56,10.90843531,A_0_5Y,
57,14.32906116,A_5_10Y,
58,19.62377711,A_10_15Y,
59,45.006133,A_15Yplus,
60,38.05112941,BBB_0_5Y,
61,25.37698101,BBB_5_10Y,
62,25.12811376,BBB_10_15Y,
63,50.48585434,BBB_15Yplus,
64,10.17850974,BB,
65,10.52581972,B,
66,6.019418199,CCC,
67,4.053898186,INFL_SOV_BOE_GBR_05Y,
68,16.73569085,INFL_SOV_GBR_10Y,
69,15.10352619,INFL_SOV_GBR_20Y,
70,22.04010012,INFL_SOV_GBR_30Y,
71,3.93843E+12,IR_SOV_SWAS_GBP_01Y,1
72,3.17714E+12,IR_SOV_SWAS_GBP_05Y,1
73,2.46166E+12,IR_SOV_SWAS_GBP_10Y,1
74,1.9152E+12,IR_SOV_SWAS_GBP_20Y,1
75,1.9083E+12,IR_SOV_SWAS_GBP_30Y,1
76,2.797615177,Long_P_SS,
77,7.402921209,Expense_P_RAUKSL,
78,10.39111323,Expense_Ark_Life,
79,6.27242E+12,IR_SOV_CorpAA_GBP_01Y,1
80,4.95173E+12,IR_SOV_CorpAA_GBP_05Y,1
81,4.2871E+12,IR_SOV_CorpAA_GBP_10Y,1
82,3.02255E+12,IR_SOV_CorpAA_GBP_20Y,1
83,3.01446E+12,IR_SOV_CorpAA_GBP_30Y,1
84,6.133653394,CML_A_0_5Y,
85,7.851590825,CML_A_5_10Y,
86,7.258141853,CML_A_15Yplus,
87,7.516957319,CML_BBB_0_5Y,
88,7.419688826,CML_BBB_5_10Y,
89,3.331606823,CML_CCC,
90,6.329295482,Transport_BBB_0_5Y,
91,8.061084917,Transport_BBB_5_10Y,
92,6.33997E+11,Transport_BBB_10_15Y,1
93,7.12144E+11,Transport_BBB_15Yplus,1
94,6.33997E+11,Utility_BBB_10_15Y,1
95,6.70727E+11,Utility_BBB_15Yplus,1
96,2.56872E+11,Energy_A_15Yplus,1
97,6.86054E+11,Energy_BBB_15Yplus,1
98,6.851985617,SH_AA_15Yplus,
99,9.368131658,SH_A_10_15Y,
100,2.56872E+11,SH_A_15Yplus,1
101,2.811066849,Long_P_STD,
102,2.822000227,Long_P_IMP,
103,1.000335406,Long_Prop_Married,
104,1.059642974,UL_xterm,
,,,46
